"V.V.P. Engineering College, Rajkot",INFORMATION TECHNOLOGY,7695,80.19424793
"Vishwakarma Government Engineering College, Gandhinagar",ELECTRONICS & COMMUNICATION ENGINEERING,7730,80.10410273
"L.E.College ,Morbi",INFORMATION TECHNOLOGY,7772,79.99377061
"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",MECHANICAL ENGINEERING,7891,79.72410365
"Vishwakarma Government Engineering College, Gandhinagar",MECHANICAL ENGINEERING,7900,79.71344951
"Faculty Of Technology(Sfi), Dharmsinh Desai University, Nadiad",CHEMICAL ENGINEERING,7992,79.49920876
"Faculty Of Technology & Engineering(MSU), Vadodara",CIVIL ENGINEERING,8269,78.871465
"New L.J. Institute of Engineering & Technology, Ahmedabad",INFORMATION TECHNOLOGY,8585,78.13127754
"L.D.R.P. Institute Of Tech. & Research., Gandhinagar",COMPUTER ENGINEERING,9049,77.06956609
"Government Engineering College Sector 28, Gandhinagar",BIOMEDICAL ENGINEERING,9100,76.96893038
"Government Engineering College, Patan",COMPUTER SCIENCE & ENGINEERING,9280,76.53629287
"Institute Of Technology, Nirma University Of Science & Technology,
Ahmedabad",CIVIL ENGINEERING,9296,76.50825674
"Shantilal Shah Engineering College ,Bhavnagar",INFORMATION TECHNOLOGY,9446,76.1545206
"C. K. Pithawala College Of Engg. & Tech., Surat",COMPUTER ENGINEERING,9506,76.03003689
"Government Engineering College, Modasa",COMPUTER ENGINEERING,9595,75.82202141
"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRICAL ENGINEERING,9714,75.54050784
"Vishwakarma Government Engineering College, Gandhinagar",CIVIL ENGINEERING,9773,75.38483667
"Department of Engineering and Computing , Institute of Advance
Research, Gandhinagar",COMPUTER ENGINEERING,10096,74.60324982
"Indus Institute Of Tech. & Engg., Racharda, Ahmedabad",COMPUTER ENGINEERING,10290,74.15041622
"L.D.College Of Engineering, Ahmedabad",INSTRUMENTATION & CONTROL ENGINEERING,10298,74.13897307
"Department of Engineering and Computing , Institute of Advance
Research, Gandhinagar",INFORMATION TECHNOLOGY,10352.5,73.97537668
